A;;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES;HERNAD TELJES
6;01jan2215  0500;150.70;150.72;151.31;151.46;164.36;104.03;104.06;104.34;104.35;104.86;104.86;108.41;108.42;108.72;108.70;98.18;120.50;120.51;123.88;125.78;126.51;126.50;129.73;129.75;129.78;131.13;131.16;131.19;139.31;139.31;149.22;149.67;149.70;149.70
7;01jan2215  0600;150.69;150.72;151.31;151.46;164.36;104.03;104.06;104.34;104.35;104.86;104.86;108.39;108.40;108.70;108.68;98.18;120.53;120.54;123.89;125.79;126.52;126.51;129.74;129.75;129.78;131.14;131.17;131.20;139.31;139.30;149.22;149.67;149.70;149.70
8;01jan2215  0700;150.69;150.71;151.31;151.46;164.36;104.03;104.06;104.33;104.34;104.86;104.86;108.37;108.38;108.67;108.65;98.19;120.54;120.55;123.89;125.81;126.53;126.52;129.74;129.76;129.79;131.14;131.17;131.20;139.30;139.29;149.22;149.67;149.69;149.70
9;01jan2215  0800;150.69;150.71;151.31;151.46;164.35;104.02;104.05;104.32;104.33;104.84;104.84;108.34;108.35;108.64;108.62;98.18;120.56;120.56;123.90;125.81;126.54;126.52;129.74;129.76;129.79;131.14;131.17;131.20;139.29;139.29;149.22;149.66;149.69;149.70
10;01jan2215  0900;150.69;150.71;151.31;151.46;164.35;103.99;104.02;104.30;104.30;104.81;104.81;108.33;108.34;108.63;108.61;98.18;120.56;120.57;123.90;125.82;126.54;126.53;129.74;129.75;129.78;131.13;131.16;131.19;139.29;139.28;149.22;149.66;149.69;149.70
11;01jan2215  1000;150.68;150.71;151.30;151.45;164.34;103.97;104.00;104.27;104.28;104.79;104.79;108.33;108.34;108.64;108.62;98.17;120.57;120.58;123.90;125.83;126.54;126.53;129.73;129.75;129.78;131.13;131.15;131.18;139.29;139.28;149.22;149.66;149.69;149.70
12;01jan2215  1100;150.68;150.70;151.30;151.45;164.33;103.94;103.98;104.25;104.26;104.78;104.78;108.34;108.35;108.65;108.63;98.15;120.57;120.58;123.90;125.83;126.54;126.52;129.73;129.74;129.77;131.12;131.15;131.18;139.28;139.28;149.21;149.66;149.69;149.69
13;01jan2215  1200;150.67;150.70;151.30;151.44;164.33;103.93;103.97;104.24;104.25;104.78;104.79;108.36;108.37;108.67;108.65;98.12;120.58;120.58;123.90;125.82;126.53;126.52;129.72;129.74;129.77;131.11;131.14;131.17;139.28;139.28;149.21;149.66;149.69;149.69
14;01jan2215  1300;150.67;150.69;151.29;151.44;164.32;103.94;103.97;104.25;104.25;104.79;104.80;108.38;108.39;108.69;108.67;98.09;120.57;120.58;123.90;125.82;126.53;126.51;129.72;129.73;129.76;131.11;131.14;131.17;139.28;139.27;149.21;149.66;149.68;149.69
15;01jan2215  1400;150.66;150.68;151.29;151.44;164.31;103.95;103.98;104.26;104.27;104.81;104.81;108.39;108.40;108.70;108.68;98.08;120.57;120.58;123.90;125.81;126.52;126.51;129.72;129.73;129.76;131.11;131.13;131.16;139.28;139.27;149.21;149.65;149.68;149.69
16;01jan2215  1500;150.66;150.68;151.28;151.43;164.30;103.97;104.00;104.28;104.29;104.82;104.82;108.40;108.41;108.71;108.69;98.08;120.57;120.58;123.89;125.80;126.52;126.50;129.71;129.73;129.76;131.10;131.13;131.16;139.27;139.27;149.21;149.65;149.68;149.68
17;01jan2215  1600;150.65;150.67;151.28;151.43;164.29;103.98;104.02;104.30;104.30;104.84;104.84;108.41;108.42;108.72;108.70;98.09;120.56;120.57;123.89;125.80;126.51;126.50;129.71;129.72;129.75;131.10;131.12;131.15;139.27;139.26;149.20;149.65;149.68;149.68
18;01jan2215  1700;150.64;150.66;151.27;151.42;164.28;104.00;104.03;104.31;104.32;104.85;104.85;108.41;108.42;108.72;108.70;98.10;120.56;120.57;123.89;125.79;126.51;126.49;129.71;129.72;129.75;131.09;131.12;131.15;139.26;139.26;149.20;149.64;149.67;149.68
19;01jan2215  1800;150.63;150.65;151.26;151.41;164.27;104.01;104.04;104.32;104.33;104.86;104.86;108.41;108.42;108.73;108.71;98.12;120.56;120.56;123.89;125.79;126.50;126.49;129.70;129.72;129.75;131.09;131.11;131.15;139.26;139.25;149.20;149.64;149.67;149.67
20;01jan2215  1900;150.62;150.64;151.26;151.41;164.26;104.02;104.05;104.33;104.34;104.86;104.86;108.41;108.42;108.73;108.71;98.14;120.55;120.56;123.89;125.78;126.50;126.48;129.70;129.71;129.74;131.08;131.11;131.14;139.25;139.24;149.20;149.64;149.66;149.67
21;01jan2215  2000;150.61;150.63;151.25;151.40;164.25;104.03;104.06;104.34;104.34;104.86;104.86;108.41;108.42;108.72;108.71;98.15;120.55;120.56;123.88;125.78;126.49;126.48;129.69;129.71;129.74;131.08;131.10;131.13;139.24;139.24;149.19;149.63;149.66;149.66
22;01jan2215  2100;150.60;150.62;151.24;151.39;164.24;104.03;104.06;104.34;104.35;104.86;104.86;108.41;108.42;108.72;108.70;98.17;120.54;120.55;123.88;125.77;126.49;126.47;129.69;129.70;129.73;131.07;131.09;131.13;139.24;139.23;149.19;149.63;149.65;149.66
23;01jan2215  2200;150.59;150.61;151.23;151.38;164.23;104.03;104.06;104.34;104.35;104.86;104.86;108.41;108.42;108.72;108.70;98.18;120.54;120.55;123.88;125.77;126.48;126.47;129.68;129.70;129.72;131.06;131.09;131.12;139.23;139.22;149.19;149.62;149.65;149.65
24;01jan2215  2300;150.58;150.59;151.22;151.37;164.21;104.03;104.06;104.34;104.34;104.86;104.86;108.41;108.41;108.72;108.70;98.18;120.53;120.54;123.87;125.76;126.47;126.46;129.68;129.69;129.72;131.05;131.08;131.11;139.22;139.21;149.18;149.62;149.64;149.65
25;02jan2215  0000;150.56;150.58;151.22;151.36;164.20;104.03;104.06;104.34;104.34;104.86;104.86;108.40;108.41;108.71;108.69;98.18;120.53;120.54;123.87;125.75;126.47;126.45;129.67;129.68;129.71;131.04;131.07;131.10;139.21;139.21;149.18;149.61;149.64;149.64
26;02jan2215  0100;150.55;150.57;151.21;151.35;164.20;104.03;104.06;104.33;104.34;104.86;104.86;108.40;108.41;108.71;108.69;98.18;120.52;120.53;123.87;125.74;126.46;126.44;129.66;129.67;129.70;131.03;131.05;131.09;139.20;139.20;149.17;149.61;149.63;149.64
27;02jan2215  0200;150.53;150.55;151.20;151.34;164.20;104.02;104.05;104.33;104.33;104.85;104.85;108.40;108.40;108.70;108.69;98.18;120.52;120.52;123.86;125.73;126.45;126.43;129.65;129.66;129.69;131.02;131.04;131.08;139.19;139.19;149.17;149.60;149.62;149.63
28;02jan2215  0300;150.52;150.54;151.19;151.34;164.20;104.02;104.05;104.32;104.33;104.85;104.85;108.39;108.40;108.70;108.68;98.18;120.51;120.52;123.85;125.72;126.44;126.42;129.64;129.66;129.68;131.01;131.03;131.07;139.18;139.18;149.17;149.60;149.62;149.62
29;02jan2215  0400;150.51;150.53;151.18;151.33;164.19;104.01;104.04;104.32;104.33;104.85;104.85;108.39;108.40;108.70;108.68;98.17;120.50;120.51;123.84;125.71;126.43;126.41;129.63;129.65;129.67;131.00;131.02;131.05;139.17;139.16;149.16;149.59;149.61;149.62
30;02jan2215  0500;150.50;150.52;151.18;151.32;164.19;104.01;104.04;104.32;104.32;104.84;104.84;108.39;108.39;108.69;108.67;98.17;120.49;120.50;123.84;125.70;126.41;126.40;129.62;129.64;129.66;130.98;131.01;131.04;139.16;139.15;149.15;149.59;149.61;149.61
31;02jan2215  0600;150.50;150.52;151.17;151.32;164.19;104.00;104.03;104.31;104.32;104.84;104.84;108.38;108.39;108.69;108.67;98.16;120.48;120.49;123.83;125.68;126.40;126.39;129.61;129.63;129.65;130.97;130.99;131.03;139.15;139.14;149.15;149.59;149.61;149.61
32;02jan2215  0700;150.50;150.51;151.17;151.32;164.20;104.00;104.03;104.31;104.31;104.83;104.83;108.38;108.38;108.68;108.66;98.16;120.48;120.48;123.82;125.67;126.39;126.38;129.60;129.61;129.64;130.95;130.98;131.01;139.14;139.13;149.15;149.58;149.61;149.61
33;02jan2215  0800;150.50;150.51;151.17;151.32;164.20;103.99;104.02;104.30;104.31;104.83;104.83;108.37;108.38;108.68;108.66;98.15;120.47;120.47;123.81;125.65;126.38;126.36;129.59;129.60;129.63;130.94;130.96;131.00;139.13;139.12;149.15;149.58;149.60;149.61
34;02jan2215  0900;150.49;150.51;151.17;151.32;164.21;103.99;104.02;104.29;104.30;104.82;104.82;108.36;108.37;108.67;108.65;98.15;120.45;120.46;123.80;125.64;126.36;126.35;129.58;129.59;129.62;130.92;130.95;130.99;139.12;139.12;149.15;149.58;149.60;149.61
35;02jan2215  1000;150.49;150.51;151.17;151.32;164.21;103.98;104.01;104.29;104.29;104.82;104.82;108.36;108.37;108.66;108.64;98.14;120.44;120.45;123.79;125.62;126.35;126.34;129.57;129.58;129.60;130.91;130.93;130.97;139.12;139.12;149.15;149.58;149.60;149.61
36;02jan2215  1100;150.50;150.52;151.17;151.32;164.22;103.97;104.00;104.28;104.29;104.81;104.81;108.35;108.36;108.65;108.63;98.13;120.43;120.44;123.78;125.61;126.33;126.32;129.56;129.57;129.60;130.90;130.92;130.96;139.12;139.11;149.15;149.58;149.60;149.61
37;02jan2215  1200;150.50;150.52;151.18;151.33;164.23;103.96;104.00;104.27;104.28;104.80;104.80;108.34;108.35;108.64;108.63;98.13;120.42;120.43;123.77;125.59;126.32;126.31;129.55;129.56;129.59;130.89;130.91;130.96;139.12;139.11;149.15;149.59;149.61;149.61
38;02jan2215  1300;150.51;150.53;151.18;151.33;164.26;103.96;103.99;104.26;104.27;104.80;104.80;108.33;108.34;108.64;108.62;98.12;120.41;120.41;123.76;125.58;126.31;126.30;129.54;129.56;129.58;130.89;130.91;130.95;139.12;139.11;149.16;149.59;149.61;149.61
39;02jan2215  1400;150.52;150.54;151.19;151.34;164.29;103.95;103.98;104.25;104.26;104.79;104.79;108.33;108.33;108.63;108.61;98.11;120.40;120.40;123.76;125.56;126.30;126.29;129.54;129.55;129.58;130.88;130.90;130.95;139.12;139.11;149.16;149.59;149.61;149.62
40;02jan2215  1500;150.53;150.54;151.19;151.34;164.32;103.94;103.97;104.24;104.25;104.78;104.78;108.32;108.32;108.62;108.60;98.10;120.38;120.39;123.75;125.55;126.29;126.28;129.54;129.55;129.57;130.88;130.90;130.94;139.12;139.12;149.16;149.59;149.62;149.62
41;02jan2215  1600;150.54;150.56;151.20;151.35;164.35;103.93;103.96;104.23;104.24;104.77;104.77;108.31;108.31;108.61;108.59;98.09;120.38;120.38;123.74;125.54;126.29;126.28;129.53;129.55;129.57;130.88;130.90;130.94;139.13;139.12;149.17;149.60;149.62;149.63
42;02jan2215  1700;150.57;150.59;151.22;151.37;164.38;103.91;103.94;104.22;104.23;104.76;104.76;108.30;108.30;108.60;108.58;98.08;120.37;120.37;123.74;125.54;126.28;126.27;129.53;129.55;129.57;130.88;130.90;130.94;139.13;139.13;149.18;149.61;149.63;149.64
43;02jan2215  1800;150.60;150.62;151.25;151.40;164.41;103.90;103.93;104.21;104.21;104.75;104.75;108.29;108.29;108.58;108.57;98.07;120.36;120.37;123.74;125.53;126.28;126.27;129.54;129.55;129.58;130.88;130.90;130.95;139.14;139.13;149.19;149.62;149.65;149.65
44;02jan2215  1900;150.64;150.66;151.27;151.42;164.46;103.89;103.92;104.20;104.20;104.74;104.74;108.28;108.28;108.57;108.56;98.05;120.36;120.36;123.74;125.53;126.28;126.27;129.54;129.55;129.58;130.89;130.91;130.95;139.15;139.15;149.20;149.64;149.66;149.67
45;02jan2215  2000;150.67;150.69;151.30;151.45;164.50;103.88;103.91;104.18;104.19;104.73;104.73;108.27;108.27;108.56;108.55;98.04;120.35;120.36;123.74;125.53;126.29;126.27;129.54;129.56;129.58;130.89;130.92;130.96;139.17;139.16;149.21;149.65;149.68;149.68
46;02jan2215  2100;150.71;150.73;151.33;151.48;164.54;103.86;103.90;104.17;104.18;104.72;104.72;108.26;108.27;108.55;108.54;98.03;120.35;120.36;123.74;125.53;126.29;126.28;129.55;129.56;129.59;130.90;130.93;130.97;139.19;139.19;149.22;149.67;149.69;149.70
47;02jan2215  2200;150.75;150.77;151.35;151.51;164.59;103.85;103.88;104.16;104.16;104.71;104.72;108.25;108.26;108.55;108.53;98.02;120.35;120.36;123.74;125.54;126.30;126.28;129.56;129.58;129.60;130.92;130.94;130.98;139.22;139.21;149.23;149.68;149.71;149.72
48;02jan2215  2300;150.79;150.82;151.38;151.54;164.63;103.84;103.87;104.15;104.15;104.71;104.71;108.24;108.25;108.54;108.52;98.01;120.36;120.36;123.74;125.54;126.30;126.29;129.58;129.59;129.62;130.94;130.96;131.00;139.25;139.25;149.25;149.70;149.73;149.74
49;03jan2215  0000;150.84;150.87;151.42;151.57;164.67;103.83;103.86;104.14;104.14;104.70;104.70;108.24;108.24;108.53;108.52;97.99;120.36;120.37;123.75;125.55;126.32;126.31;129.60;129.61;129.64;130.97;131.00;131.03;139.28;139.28;149.27;149.72;149.76;149.76
50;03jan2215  0100;150.89;150.92;151.45;151.61;164.67;103.82;103.85;104.13;104.13;104.69;104.69;108.23;108.24;108.53;108.51;97.98;120.37;120.38;123.76;125.57;126.34;126.33;129.63;129.64;129.67;131.01;131.04;131.07;139.32;139.31;149.29;149.74;149.78;149.78
51;03jan2215  0200;150.94;150.97;151.48;151.64;164.66;103.81;103.84;104.12;104.12;104.69;104.69;108.23;108.24;108.52;108.51;97.97;120.38;120.39;123.77;125.59;126.37;126.35;129.66;129.67;129.70;131.05;131.08;131.11;139.36;139.35;149.31;149.76;149.80;149.81
52;03jan2215  0300;150.98;151.01;151.52;151.68;164.66;103.80;103.83;104.11;104.11;104.68;104.68;108.23;108.23;108.52;108.51;97.96;120.40;120.40;123.79;125.63;126.40;126.39;129.69;129.71;129.74;131.10;131.12;131.15;139.40;139.39;149.34;149.78;149.82;149.83
53;03jan2215  0400;151.00;151.03;151.53;151.69;164.65;103.80;103.83;104.10;104.11;104.68;104.68;108.23;108.23;108.52;108.50;97.95;120.42;120.43;123.82;125.67;126.44;126.43;129.73;129.74;129.78;131.14;131.17;131.20;139.44;139.43;149.36;149.79;149.84;149.84
54;03jan2215  0500;151.01;151.04;151.53;151.69;164.64;103.79;103.82;104.10;104.10;104.68;104.68;108.23;108.23;108.52;108.51;97.94;120.44;120.45;123.84;125.71;126.48;126.47;129.77;129.78;129.82;131.20;131.22;131.25;139.48;139.47;149.36;149.80;149.84;149.85
55;03jan2215  0600;151.00;151.03;151.53;151.69;164.63;103.79;103.82;104.10;104.10;104.68;104.68;108.23;108.24;108.53;108.51;97.93;120.48;120.48;123.87;125.76;126.53;126.51;129.81;129.83;129.86;131.25;131.28;131.31;139.51;139.50;149.36;149.80;149.84;149.85
56;03jan2215  0700;151.00;151.03;151.52;151.68;164.62;103.79;103.82;104.10;104.10;104.68;104.68;108.24;108.24;108.53;108.52;97.93;120.51;120.52;123.90;125.81;126.58;126.56;129.86;129.87;129.91;131.31;131.34;131.37;139.53;139.52;149.36;149.79;149.84;149.84
57;03jan2215  0800;150.99;151.02;151.52;151.68;164.61;103.79;103.82;104.10;104.11;104.68;104.68;108.24;108.25;108.54;108.53;97.92;120.55;120.56;123.92;125.87;126.63;126.61;129.90;129.92;129.95;131.36;131.39;131.42;139.54;139.53;149.35;149.79;149.83;149.84
58;03jan2215  0900;150.98;151.01;151.51;151.67;164.60;103.79;103.83;104.11;104.11;104.69;104.69;108.26;108.26;108.56;108.54;97.92;120.59;120.60;123.95;125.93;126.68;126.67;129.94;129.96;129.99;131.40;131.43;131.46;139.54;139.54;149.35;149.79;149.83;149.84
59;03jan2215  1000;150.97;151.00;151.51;151.66;164.59;103.80;103.83;104.11;104.12;104.69;104.70;108.27;108.28;108.58;108.56;97.92;120.63;120.64;123.98;125.99;126.73;126.72;129.97;129.99;130.02;131.43;131.46;131.49;139.54;139.54;149.34;149.78;149.83;149.83
60;03jan2215  1100;150.96;150.99;151.50;151.65;164.58;103.81;103.85;104.13;104.13;104.71;104.71;108.29;108.30;108.60;108.58;97.93;120.68;120.69;124.00;126.05;126.78;126.76;129.99;130.01;130.04;131.45;131.48;131.51;139.54;139.53;149.34;149.78;149.82;149.83
61;03jan2215  1200;150.95;150.98;151.49;151.65;164.56;103.83;103.86;104.15;104.15;104.72;104.72;108.32;108.33;108.63;108.61;97.93;120.72;120.73;124.03;126.11;126.81;126.80;130.00;130.02;130.05;131.46;131.49;131.51;139.53;139.52;149.33;149.78;149.82;149.82
62;03jan2215  1300;150.94;150.97;151.48;151.64;164.56;103.85;103.89;104.17;104.18;104.74;104.74;108.35;108.36;108.66;108.64;97.94;120.77;120.78;124.04;126.15;126.84;126.83;130.00;130.02;130.05;131.46;131.49;131.51;139.53;139.52;149.33;149.77;149.81;149.82
63;03jan2215  1400;150.93;150.95;151.47;151.63;164.55;103.88;103.91;104.20;104.20;104.77;104.77;108.38;108.39;108.70;108.68;97.96;120.80;120.81;124.06;126.17;126.86;126.84;130.00;130.02;130.05;131.45;131.48;131.51;139.52;139.51;149.32;149.77;149.80;149.81
64;03jan2215  1500;150.91;150.94;151.46;151.62;164.54;103.92;103.95;104.24;104.24;104.80;104.80;108.42;108.43;108.74;108.72;97.98;120.82;120.83;124.07;126.19;126.87;126.85;130.00;130.01;130.05;131.45;131.48;131.50;139.51;139.50;149.31;149.76;149.80;149.81
65;03jan2215  1600;150.90;150.93;151.45;151.61;164.53;103.96;103.99;104.28;104.28;104.83;104.83;108.45;108.47;108.78;108.76;98.01;120.84;120.85;124.07;126.20;126.87;126.85;129.99;130.01;130.04;131.44;131.47;131.49;139.50;139.49;149.31;149.76;149.79;149.80
66;03jan2215  1700;150.89;150.92;151.45;151.60;164.52;104.00;104.03;104.32;104.33;104.87;104.87;108.49;108.50;108.82;108.80;98.04;120.85;120.86;124.07;126.20;126.87;126.85;129.98;130.00;130.03;131.42;131.46;131.48;139.49;139.48;149.30;149.75;149.79;149.79
67;03jan2215  1800;150.88;150.91;151.44;151.59;164.51;104.05;104.08;104.37;104.38;104.91;104.91;108.53;108.54;108.86;108.84;98.08;120.85;120.86;124.07;126.20;126.86;126.84;129.97;129.99;130.02;131.41;131.44;131.47;139.48;139.47;149.30;149.75;149.78;149.79
68;03jan2215  1900;150.87;150.90;151.43;151.59;164.50;104.10;104.13;104.42;104.42;104.95;104.95;108.56;108.57;108.90;108.87;98.13;120.85;120.86;124.07;126.19;126.85;126.84;129.96;129.98;130.01;131.40;131.43;131.46;139.47;139.46;149.29;149.74;149.78;149.79
69;03jan2215  2000;150.86;150.89;151.42;151.58;164.49;104.15;104.18;104.46;104.47;104.98;104.98;108.59;108.60;108.93;108.90;98.19;120.85;120.85;124.06;126.18;126.84;126.82;129.95;129.97;130.00;131.39;131.42;131.44;139.46;139.45;149.29;149.74;149.77;149.78
70;03jan2215  2100;150.85;150.88;151.42;151.57;164.48;104.19;104.22;104.51;104.51;105.02;105.01;108.62;108.63;108.95;108.93;98.25;120.84;120.85;124.06;126.17;126.83;126.81;129.94;129.96;129.99;131.37;131.40;131.43;139.45;139.45;149.28;149.73;149.77;149.78
71;03jan2215  2200;150.84;150.87;151.41;151.56;164.46;104.23;104.26;104.55;104.55;105.05;105.04;108.64;108.65;108.97;108.95;98.31;120.83;120.84;124.05;126.15;126.81;126.80;129.93;129.94;129.98;131.36;131.39;131.42;139.45;139.44;149.28;149.73;149.76;149.77
72;03jan2215  2300;150.83;150.85;151.40;151.56;164.45;104.27;104.30;104.58;104.59;105.07;105.07;108.65;108.66;108.98;108.96;98.36;120.82;120.83;124.04;126.14;126.80;126.78;129.92;129.93;129.97;131.35;131.38;131.40;139.44;139.43;149.27;149.73;149.76;149.77
73;04jan2215  0000;150.82;150.84;151.39;151.55;164.44;104.29;104.33;104.60;104.61;105.09;105.09;108.66;108.67;108.99;108.96;98.40;120.81;120.82;124.04;126.12;126.79;126.77;129.91;129.92;129.96;131.33;131.36;131.39;139.43;139.42;149.27;149.72;149.75;149.76
74;04jan2215  0100;150.81;150.83;151.39;151.54;164.43;104.32;104.35;104.62;104.63;105.10;105.10;108.66;108.67;108.99;108.97;98.44;120.80;120.81;124.03;126.11;126.77;126.76;129.90;129.91;129.95;131.32;131.35;131.38;139.42;139.41;149.26;149.72;149.75;149.75
75;04jan2215  0200;150.79;150.82;151.38;151.53;164.42;104.33;104.36;104.64;104.64;105.11;105.11;108.66;108.67;108.99;108.96;98.47;120.79;120.80;124.02;126.09;126.76;126.74;129.89;129.90;129.93;131.31;131.34;131.37;139.41;139.41;149.26;149.71;149.74;149.75
76;04jan2215  0300;150.78;150.81;151.37;151.52;164.41;104.34;104.37;104.64;104.65;105.12;105.11;108.65;108.67;108.98;108.96;98.49;120.78;120.79;124.01;126.08;126.75;126.73;129.88;129.89;129.92;131.30;131.33;131.36;139.40;139.40;149.25;149.71;149.74;149.74
77;04jan2215  0400;150.77;150.80;151.36;151.52;164.40;104.34;104.37;104.64;104.65;105.12;105.11;108.65;108.66;108.98;108.95;98.51;120.77;120.78;124.01;126.06;126.73;126.72;129.87;129.88;129.91;131.29;131.32;131.34;139.39;139.39;149.25;149.70;149.73;149.74
78;04jan2215  0500;150.76;150.78;151.36;151.51;164.39;104.34;104.37;104.64;104.65;105.11;105.11;108.64;108.65;108.97;108.95;98.52;120.76;120.77;124.00;126.05;126.72;126.70;129.86;129.87;129.90;131.27;131.30;131.33;139.38;139.38;149.24;149.70;149.73;149.73
79;04jan2215  0600;150.75;150.77;151.35;151.50;164.39;104.34;104.37;104.64;104.64;105.11;105.10;108.63;108.64;108.96;108.94;98.52;120.75;120.76;123.99;126.03;126.71;126.69;129.85;129.86;129.89;131.26;131.29;131.32;139.37;139.37;149.24;149.69;149.72;149.73
